Tags	Asker Reputation	Asker Id	Asker Name	Link to Asker	Is Answered	View Count	Answer Count	Score	last_activity_date	creation_date	Question Id	link	Title	Answerer Reputation	Answerer Id	user_type	Answerer Name	Answerer Prof Link	Is Accepted	Answer Score	Last Activity data	Last Edited date	Creation date	Answer Id
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	293	3821643	registered	hatirlatici	registered	https://stackoverflow.com/users/3821643/hatirlatici	False	0	1571866540	1571866540	58531294
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	32446	2011147	registered	Selcuk	registered	https://stackoverflow.com/users/2011147/selcuk	False	10	1571096080	1571096080	58385294
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	848	2297550	registered	user2297550	registered	https://stackoverflow.com/users/2297550/user2297550	False	33	1562040497	1544336297	53689911
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	5597	3378204	registered	Gearon	registered	https://stackoverflow.com/users/3378204/gearon	False	207	1559665233	1509984916	47141245
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	7284	4895229	registered	Maciej	registered	https://stackoverflow.com/users/4895229/maciej	False	639	1559234066	1444437042	33048998
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	59233	166949	registered	steveha	registered	https://stackoverflow.com/users/166949/steveha	False	1080	1558962512	1374481770	17782979
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	25937	863980	registered	vulcan raven	registered	https://stackoverflow.com/users/863980/vulcan-raven	False	2196	1558961493	1341282330	11303693
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	36816	866732	registered	WiSaGaN	registered	https://stackoverflow.com/users/866732/wisagan	False	3206	1558961422	1340849643	11237235
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	1612	8459055	registered	Omkaar.K	registered	https://stackoverflow.com/users/8459055/omkaar-k	False	110	1558961238	1512667709	47700573
['java', 'c++', 'performance', 'optimization', 'branch-prediction']	314461	87234	GManNickG	https://stackoverflow.com/users/87234/gmannickg	True	1415880	25	23571	1572923795	1340805096	11227809	https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array	Why is processing a sorted array faster than processing an unsorted array?	402587	922184	registered	Mysticial	registered	https://stackoverflow.com/users/922184/mysticial	True	30816	1558960931	1340805402	11227902
